iter	Passed	Remaining
1257	28081	5402
1258	28105	5380
1259	28128	5357
1260	28154	5336
1261	28175	5313
1262	28201	5291
1263	28224	5269
1264	28248	5247
1265	28271	5225
1266	28295	5203
1267	28317	5181
1268	28340	5158
1269	28364	5136
1270	28387	5114
1271	28409	5092
1272	28432	5070
1273	28453	5047
1274	28476	5025
1275	28500	5003
1276	28524	4981
1277	28548	4959
1278	28572	4937
1279	28594	4914
1280	28618	4892
1281	28640	4870
1282	28665	4848
1283	28690	4826
1284	28713	4804
1285	28736	4781
1286	28758	4759
1287	28780	4737
1288	28803	4714
1289	28827	4692
1290	28849	4670
1291	28872	4648
1292	28895	4625
1293	28917	4603
1294	28939	4581
1295	28958	4558
1296	28980	4535
1297	29003	4513
1298	29026	4491
1299	29048	4468
1300	29070	4446
1301	29093	4424
1302	29116	4402
1303	29138	4379
1304	29156	4356
1305	29179	4334
1306	29201	4312
1307	29224	4289
1308	29247	4267
1309	29270	4245
1310	29294	4223
1311	29318	4201
1312	29337	4178
1313	29359	4155
1314	29381	4133
1315	29405	4111
1316	29431	4089
1317	29458	4067
1318	29482	4045
1319	29506	4023
1320	29529	4001
1321	29553	3979
1322	29580	3957
1323	29605	3935
1324	29630	3913
1325	29656	3891
1326	29684	3869
1327	29709	3847
1328	29735	3825
1329	29759	3803
1330	29784	3781
1331	29810	3759
1332	29836	3737
1333	29860	3715
1334	29885	3693
1335	29908	3671
1336	29931	3649
1337	29954	3626
1338	29975	3604
1339	29999	3582
1340	30024	3560
1341	30043	3537
1342	30069	3515
1343	30092	3492
1344	30115	3470
1345	30137	3448
1346	30161	3425
1347	30182	3403
1348	30206	3381
1349	30230	3358
1350	30253	3336
1351	30278	3314
1352	30300	3292
1353	30322	3269
1354	30346	3247
1355	30369	3225
1356	30392	3202
1357	30414	3180
1358	30437	3157
1359	30460	3135
1360	30482	3113
1361	30506	3090
1362	30528	3068
1363	30553	3046
1364	30575	3023
1365	30598	3001
1366	30621	2979
1367	30644	2956
1368	30668	2934
1369	30691	2912
1370	30715	2890
1371	30738	2867
1372	30760	2845
1373	30782	2822
1374	30806	2800
1375	30828	2778
1376	30852	2755
1377	30875	2733
1378	30898	2711
1379	30923	2688
1380	30945	2666
1381	30968	2644
1382	30991	2621
1383	31014	2599
1384	31036	2577
1385	31063	2555
1386	31086	2532
1387	31109	2510
1388	31136	2488
1389	31158	2465
1390	31181	2443
1391	31201	2420
1392	31224	2398
1393	31247	2376
1394	31271	2353
1395	31292	2331
1396	31317	2309
1397	31341	2286
1398	31365	2264
1399	31390	2242
1400	31413	2219
1401	31436	2197
1402	31460	2175
1403	31485	2152
1404	31509	2130
1405	31532	2108
1406	31559	2086
1407	31583	2063
1408	31606	2041
1409	31634	2019
1410	31660	1997
1411	31685	1974
1412	31710	1952
1413	31736	1930
1414	31756	1907
1415	31780	1885
1416	31804	1862
1417	31828	1840
1418	31850	1818
1419	31873	1795
1420	31896	1773
1421	31920	1750
1422	31944	1728
1423	31966	1706
1424	31987	1683
1425	32011	1661
1426	32034	1638
1427	32059	1616
1428	32085	1594
1429	32107	1571
1430	32130	1549
1431	32151	1526
1432	32175	1504
1433	32199	1481
1434	32223	1459
1435	32248	1437
1436	32272	1414
1437	32297	1392
1438	32320	1370
1439	32342	1347
1440	32366	1325
1441	32390	1302
1442	32417	1280
1443	32441	1258
1444	32465	1235
1445	32488	1213
1446	32510	1190
1447	32532	1168
1448	32555	1145
1449	32579	1123
1450	32604	1101
1451	32631	1078
1452	32656	1056
1453	32681	1033
1454	32706	1011
1455	32729	989
1456	32746	966
1457	32769	943
1458	32790	921
1459	32813	898
1460	32835	876
1461	32856	853
1462	32878	831
1463	32902	809
1464	32923	786
1465	32944	764
1466	32967	741
1467	32989	719
1468	33014	696
1469	33037	674
1470	33059	651
1471	33082	629
1472	33108	606
1473	33129	584
1474	33152	561
1475	33173	539
1476	33191	516
1477	33211	494
1478	33232	471
1479	33254	449
1480	33278	426
1481	33300	404
1482	33322	381
1483	33342	359
1484	33367	337
1485	33388	314
1486	33412	292
1487	33435	269
1488	33459	247
1489	33481	224
1490	33504	202
1491	33525	179
1492	33546	157
1493	33567	134
1494	33590	112
1495	33612	89
1496	33636	67
1497	33652	44
1498	33675	22
1499	33697	0
